Service,Rake Num,Start Station,Start Time,End Station,End Time,Direction,service time,Same Jurisdiction,Step Back Rake,Step Back Location,mergedRakeNum1,mergedRakeNum2
40,728,VND,07:38,KKDA DN,07:44,DN,6,yes,No StepBack,No StepBack,188,189
603,716,KKDA DN,07:40,MUPR,07:55,DN,15,yes,No StepBack,No StepBack,179,None
390,729,MKPD,07:40,PVGW DN,07:54,DN,14,yes,No StepBack,No StepBack,365,366
391,717,PVGW UP,07:41,PVGW DN,08:14,UP,33,yes,No StepBack,No StepBack,30,407
42,704,KKDA UP,07:41,PVGW UP,08:47,UP,66,no,No StepBack,No StepBack,112,113
604,726,MUPR,07:42,KKDA UP,07:57,UP,15,yes,No StepBack,No StepBack,147,None
605,728,KKDA DN,07:44,MUPR,07:59,DN,15,yes,No StepBack,No StepBack,190,None
43,713,PVGW DN,07:46,KKDA DN,08:52,DN,66,no,No StepBack,No StepBack,346,347
44,724,KKDA UP,07:47,PVGW UP,08:53,UP,66,no,No StepBack,No StepBack,123,124
606,710,MUPR,07:47,KKDA UP,08:03,UP,16,yes,No StepBack,No StepBack,156,None
45,730,VND,07:48,KKDA DN,07:54,DN,6,yes,No StepBack,No StepBack,212,213
607,720,KKDA DN,07:50,MUPR,08:05,DN,15,yes,No StepBack,No StepBack,203,None
392,702,PVGW UP,07:51,PVGW DN,08:24,UP,33,yes,No StepBack,No StepBack,45,434
608,727,MUPR,07:52,KKDA UP,08:08,UP,16,yes,No StepBack,No StepBack,167,None
46,701,KKDA UP,07:52,PVGW UP,08:59,UP,67,no,No StepBack,No StepBack,137,138
47,729,PVGW DN,07:54,KKDA DN,09:00,DN,66,no,No StepBack,No StepBack,367,368
609,730,KKDA DN,07:54,MUPR,08:09,DN,15,yes,No StepBack,No StepBack,214,None
48,726,KKDA UP,07:57,PVGW UP,09:04,UP,67,no,No StepBack,No StepBack,148,149
610,716,MUPR,07:58,KKDA UP,08:13,UP,15,yes,No StepBack,No StepBack,180,None
49,731,VND,07:58,KKDA DN,08:04,DN,6,yes,No StepBack,No StepBack,232,233
611,721,KKDA DN,08:00,MUPR,08:15,DN,15,yes,No StepBack,No StepBack,227,None
393,714,PVGW UP,08:01,PVGW DN,08:35,UP,34,yes,No StepBack,No StepBack,56,462
50,708,PVGW DN,08:01,KKDA DN,09:07,DN,66,no,No StepBack,No StepBack,380,381
612,728,MUPR,08:03,KKDA UP,08:18,UP,15,yes,No StepBack,No StepBack,191,None
51,710,KKDA UP,08:03,PVGW UP,09:09,UP,66,no,No StepBack,No StepBack,157,158
613,731,KKDA DN,08:04,MUPR,08:19,DN,15,yes,No StepBack,No StepBack,234,None
394,732,MKPD,08:05,PVGW DN,08:19,DN,14,yes,No StepBack,No StepBack,420,421
53,727,KKDA UP,08:08,PVGW UP,09:14,UP,66,no,No StepBack,No StepBack,168,169
52,707,PVGW DN,08:08,KKDA DN,09:14,DN,66,no,No StepBack,No StepBack,394,395
54,733,VND,08:08,KKDA DN,08:14,DN,6,yes,No StepBack,No StepBack,256,257
614,720,MUPR,08:08,KKDA UP,08:23,UP,15,yes,No StepBack,No StepBack,204,None
615,722,KKDA DN,08:10,MUPR,08:25,DN,15,yes,No StepBack,No StepBack,247,None
395,719,PVGW UP,08:11,PVGW DN,08:46,UP,35,yes,No StepBack,No StepBack,67,489
55,716,KKDA UP,08:13,PVGW UP,09:19,UP,66,no,No StepBack,No StepBack,181,182
616,730,MUPR,08:13,KKDA UP,08:28,UP,15,yes,No StepBack,No StepBack,215,None
56,717,PVGW DN,08:14,KKDA DN,09:20,DN,66,no,No StepBack,No StepBack,408,409
